uniprot,n_residues,spearman_7_vs_42,top5pct_jacc_7_vs_42,top10pct_jacc_7_vs_42,spearman_7_vs_1337,top5pct_jacc_7_vs_1337,top10pct_jacc_7_vs_1337,spearman_42_vs_1337,top5pct_jacc_42_vs_1337,top10pct_jacc_42_vs_1337
A1SPN2,371,0.9297250297858941,0.35714285714285715,0.48,0.9453304883006649,0.35714285714285715,0.48,0.9441942768783914,0.52,0.574468085106383
D2PPM7,723,0.8441502323495234,0.3584905660377358,0.5,0.8810101312736546,0.4117647058823529,0.5157894736842106,0.9124556325351184,0.5652173913043478,0.4845360824742268
A4UWM5,1022,0.7300980805377395,0.36,0.4166666666666667,0.7558962988592614,0.3246753246753247,0.4068965517241379,0.810244310235716,0.3972602739726027,0.4166666666666667
Q2PYN0,295,0.8901773444146328,0.5789473684210527,0.6666666666666666,0.8575130647769875,0.5,0.5,0.9177966101694918,0.6666666666666666,0.5384615384615384
P84142,91,0.8153846153846154,0.6666666666666666,0.5,0.8569358178053831,0.42857142857142855,0.5,0.8990922121356903,0.42857142857142855,0.5
P14384,443,0.839552855818956,0.5172413793103449,0.4426229508196721,0.8738837199864953,0.5714285714285714,0.4915254237288136,0.8826034649298494,0.5714285714285714,0.543859649122807
P21836,614,0.7996893918490439,0.4090909090909091,0.525,0.843704974875681,0.37777777777777777,0.5061728395061729,0.8599891573571273,0.4090909090909091,0.43529411764705883
Q5L1H1,389,0.8078657938674371,0.26666666666666666,0.3684210526315789,0.8559000589159868,0.26666666666666666,0.4716981132075472,0.8939173830701141,0.35714285714285715,0.4716981132075472
B3VPB3,467,0.8115213417572554,0.35294117647058826,0.46875,0.8580660561985979,0.35294117647058826,0.5666666666666667,0.8616860710490951,0.4375,0.6491228070175439
Q9FK35,248,0.7033779626800266,0.2,0.35135135135135137,0.7739819143362007,0.3333333333333333,0.47058823529411764,0.8535932944262358,0.3333333333333333,0.5625
Q64514,1022,0.8949569496607561,0.34210526315789475,0.3691275167785235,0.9281067503070318,0.43661971830985913,0.4676258992805755,0.9394362003978963,0.3246753246753247,0.45714285714285713
P07711,333,0.8000540761524818,0.4782608695652174,0.40425531914893614,0.8513702000102693,0.5454545454545454,0.43478260869565216,0.8219194954279004,0.5454545454545454,0.43478260869565216
P06276,602,0.8199426909542701,0.36363636363636365,0.6,0.839607717049052,0.42857142857142855,0.5189873417721519,0.8708547906731428,0.36363636363636365,0.5584415584415584
A0A125SQG8,378,0.8266884804961413,0.35714285714285715,0.38181818181818183,0.8662475425281357,0.52,0.52,0.8904440518488376,0.46153846153846156,0.4339622641509434
