uniprot,feature,n_pos,n_res,auc
P39900,Repeat,191,470,0.46215916980990446
P39900,Active site,1,470,0.0
P39900,Binding site,24,470,0.3112855007473842
Q2I2N4,Domain,193,511,0.5521067553035488
Q2I2N4,Active site,2,511,0.03831041257367385
Q2I2N4,Binding site,3,511,0.213254593175853
X5D761,Domain,232,345,0.7089945071711932
X5D761,Signal,18,345,0.47349643221202853
Q81EK9,Domain,182,275,0.3130095710740872
Q81EK9,Modified residue,1,275,0.5218978102189781
Q81EK9,Active site,2,275,0.01282051282051283
Q81EK9,Binding site,3,275,0.08333333333333333
Q8N1Q8,Active site,1,247,0.004065040650406471
Q59514,Signal,25,313,0.6034722222222223
Q59514,Active site,4,313,0.17718446601941745
Q59514,Binding site,3,313,0.020430107526881753
C6W7B1,Signal,21,382,0.43925603482390185
Q9YGA8,Active site,1,481,0.0
Q7XJJ7,Active site,3,607,0.036975717439293586
Q7XJJ7,Binding site,4,607,0.62893864013267
Q75UV1,Domain,121,126,0.7090909090909092
Q75UV1,Motif,22,126,0.3256118881118881
Q75UV1,Binding site,13,126,0.5867937372362151
Q2QMN7,Region,124,484,0.413149641577061
Q2QMN7,Signal,28,484,0.6339285714285714
Q2QMN7,Binding site,8,484,0.11265756302521009
Q97VT7,Modified residue,1,314,0.12140575079872207
Q97VT7,Binding site,6,314,0.1239177489177489
P48740,Domain,660,699,0.1893939393939394
P48740,Region,259,699,0.3021411021411021
P48740,Signal,19,699,0.9057275541795665
P48740,Modified residue,1,699,0.05014326647564471
P48740,Disulfide bond,449,699,0.5348775055679288
P48740,Active site,6,699,0.21524771524771527
P48740,Binding site,14,699,0.05338894681960375
E2RV69,Active site,3,298,0.2169491525423729
Q81WT0,Binding site,3,226,0.034379671150971625
Q9CA40,Domain,134,147,0.7479908151549942
Q9CA40,Motif,22,147,0.33236363636363636
Q9CA40,Modified residue,1,147,0.23972602739726023
Q9CA40,Binding site,2,147,0.0034482758620689724
P23141,Signal,17,567,0.6022459893048129
P23141,Modified residue,1,567,0.32155477031802115
P23141,Disulfide bond,42,567,0.5357369614512472
P23141,Active site,3,567,0.25886524822695034
P45381,Active site,1,313,0.0064102564102563875
P45381,Binding site,9,313,0.15168128654970758
Q8NFP7,Domain,128,164,0.5151909722222222
Q8NFP7,Region,21,164,0.38428238428238426
Q8NFP7,Motif,22,164,0.382842509603073
Q8NFP7,Compositional bias,17,164,0.42697078831532614
Q8NFP7,Active site,1,164,0.036809815950920255
Q8NFP7,Binding site,15,164,0.6196868008948547
Q8JZL3,Domain,197,224,0.4824215078022185
Q8JZL3,Modified residue,1,224,0.42152466367713004
Q8JZL3,Binding site,11,224,0.04780196329492103
Q82Y41,Domain,119,193,0.5135135135135136
Q82Y41,Disulfide bond,10,193,0.7562841530054645
Q82Y41,Binding site,8,193,0.19729729729729728
P32329,Domain,393,569,0.36090388619014574
P32329,Signal,21,569,0.8266423357664233
P32329,Active site,2,569,0.013227513227513255
Q5ZZB6,Binding site,5,459,0.3502202643171807
C5A6Q4,Active site,1,306,0.04590163934426228
C5A6Q4,Binding site,8,306,0.5864093959731543
G0UZY5,Domain,718,867,0.5452225608046213
G0UZY5,Active site,1,867,0.0011547344110854896
G0UZY5,Binding site,3,867,0.009259259259259228
A1SPN2,Region,359,371,0.7954967502321263
A1SPN2,Active site,2,371,0.4430894308943089
A1SPN2,Binding site,15,371,0.806741573033708
D2PPM7,Active site,3,723,0.13518518518518516
D2PPM7,Binding site,1,723,0.9722991689750693
A4UWM5,Domain,728,1022,0.5247206025267249
A4UWM5,Disulfide bond,166,1022,0.40271365837180506
Q2PYN0,Domain,188,295,0.42120699940345996
Q2PYN0,Binding site,7,295,0.279265873015873
P84142,Domain,87,91,0.6408045977011494
P84142,Active site,2,91,0.02247191011235955
P14384,Domain,291,443,0.47937013926569
P14384,Signal,17,443,0.6227561447114057
P14384,Disulfide bond,218,443,0.6520285423037716
P14384,Active site,1,443,0.0678733031674208
P14384,Binding site,3,443,0.07954545454545454
P21836,Signal,31,614,0.5577933934598572
P21836,Disulfide bond,166,614,0.5596089716006885
P21836,Active site,3,614,0.08892525913802507
Q5L1H1,Domain,89,389,0.5928089887640449
Q5L1H1,Binding site,5,389,0.027083333333333327
B3VPB3,Signal,21,467,0.6478752936152038
B3VPB3,Disulfide bond,405,467,0.34133811230585426
B3VPB3,Active site,2,467,0.02365591397849459
Q9FK35,Region,68,248,0.4759803921568628
Q9FK35,Modified residue,1,248,0.6720647773279352
Q9FK35,Binding site,19,248,0.2231670880257412
Q64514,Domain,500,1022,0.29355555555555557
Q64514,Region,13,1022,0.701913547305024
Q64514,Compositional bias,7,1022,0.7048557353976074
Q64514,Modified residue,3,1022,0.6359175662414132
Q64514,Active site,3,1022,0.008832188420019649
P07711,Signal,17,333,0.5517498138495904
P07711,Disulfide bond,131,333,0.429445998034918
P07711,Active site,3,333,0.012121212121212125
P07711,Binding site,11,333,0.5118577075098815
P06276,Signal,28,602,0.5807615729218516
P06276,Modified residue,1,602,0.028286189683860208
P06276,Disulfide bond,161,602,0.5347530316474416
P06276,Active site,3,602,0.029493600445186452
P06276,Binding site,4,602,0.3783444816053511
A0A125SQG8,Domain,304,378,0.27653805120910385
A0A125SQG8,Signal,16,378,0.6237914364640884
A0A125SQG8,Disulfide bond,46,378,0.4396935568360398
A0A125SQG8,Active site,2,378,0.0013297872340425343
